product_id,name,category,subcategory,brand,price,rating,num_reviews,stock_quantity,description
100028,Folio & Fern Bestselling Self-Help Book,Books & Stationery,Non-Fiction,Folio & Fern,5.8,4.7,78,225,Bestselling self-help book perfect for students and professionals.
100029,Cassia Nourishing Mouthwash,Beauty & Personal Care,Oral Care,Cassia,67.09,4.5,114,41,"Nourishing mouthwash with a light, pleasant scent."
100030,Tuscan Grove Foldable Saucepan,Home & Kitchen,Cookware,Tuscan Grove,144.78,4.1,1,331,Foldable saucepan made from high-quality materials.
100031,Aurablend Nourishing Mascara,Beauty & Personal Care,Makeup,Aurablend,37.8,4.0,603,283,"Nourishing mascara with a light, pleasant scent."
100032,Nestwell Elegant Coffee Table,Home & Kitchen,Furniture,Nestwell,336.21,3.5,191,488,Elegant coffee table with energy-efficient design.
100033,Sunvalley Freshly Roasted Salad Dressing,Groceries & Gourmet,Condiments,Sunvalley,27.21,4.1,10,213,Freshly Roasted salad dressing sourced from trusted farms.
100034,Rosewell Long-Lasting Hair Trimmer,Beauty & Personal Care,Grooming Tools,Rosewell,80.16,3.0,43,474,Long-Lasting hair trimmer dermatologically tested.
100035,PureGlow Fragrance-Free Mouthwash,Beauty & Personal Care,Oral Care,PureGlow,41.11,4.0,80,264,Fragrance-Free mouthwash helps restore natural glow.
100036,Britek Fast-Charging 2-in-1 Tablet,Electronics,Tablets,Britek,1295.61,4.1,447,387,Fast-Charging 2-in-1 tablet for everyday use.
100037,Vantro Handcrafted Analog Watch,Fashion,Watches,Vantro,140.03,3.1,600,81,Handcrafted analog watch featuring a timeless design.
100038,Ironclad Adjustable Running Shoes,Sports & Outdoors,Running,Ironclad,337.64,4.1,59,473,Adjustable running shoes for year-round use.
100039,Bloomrise Refreshing Lipstick,Beauty & Personal Care,Makeup,Bloomrise,81.86,4.1,231,7,Refreshing lipstick free from harsh chemicals.
100040,Rootstock Gluten-Free Chips Pack,Groceries & Gourmet,Snacks,Rootstock,41.31,5.0,105,61,Gluten-Free chips pack great as a snack or ingredient.
100041,Aurablend Nourishing Face Moisturizer,Beauty & Personal Care,Skincare,Aurablend,77.25,4.0,268,133,Nourishing face moisturizer helps restore natural glow.
100042,Clearview Elegant Toaster,Home & Kitchen,Kitchen Appliances,Clearview,228.89,4.0,236,102,Elegant toaster adds a stylish touch to any room.
100043,Inkwell Illustrated Desk Organizer,Books & Stationery,Office Supplies,Inkwell,32.9,4.5,37,126,Illustrated desk organizer great for journaling and note-taking.
100044,Kindred Casual Ring,Fashion,Jewelry,Kindred,243.85,3.7,8,27,Casual ring available in multiple colors.
100045,Scriptus Premium Fountain Pen,Books & Stationery,Pens & Pencils,Scriptus,49.91,3.9,39,24,Premium fountain pen with high-quality binding.
100046,Sunvalley Small-Batch Multivitamin Gummies,Groceries & Gourmet,Health Foods,Sunvalley,14.25,4.1,537,45,Small-Batch multivitamin gummies perfect for a healthy lifestyle.
100047,Surge Weather-Resistant Swim Cap,Sports & Outdoors,Swimming,Surge,44.24,4.4,134,489,Weather-Resistant swim cap for intense training sessions.
100048,Pixor Lightweight Gaming Keyboard,Electronics,Gaming Accessories,Pixor,1260.3,4.6,34,409,Lightweight gaming keyboard for professionals.
100049,Skyline Premium Hybrid Watch,Electronics,Smartwatches,Skyline,1132.28,3.8,235,56,Premium hybrid watch with water resistance.
100050,Lettermark Illustrated Picture Book,Books & Stationery,Children's Books,Lettermark,59.56,3.5,28,186,Illustrated picture book with high-quality binding.
100051,Tuscan Grove Rustic Office Chair,Home & Kitchen,Furniture,Tuscan Grove,92.34,3.9,209,492,Rustic office chair great for daily household use.
100052,Greengrove Freshly Roasted Fruit Juice Pack,Groceries & Gourmet,Beverages,Greengrove,41.76,4.3,56,41,Freshly Roasted fruit juice pack made with premium ingredients.
100053,Halcyon Ultra HD Action Camera,Electronics,Cameras,Halcyon,740.64,4.6,88,429,Ultra HD action camera for everyday use.
100054,PeakForm Shock-Absorbing Swim Fins,Sports & Outdoors,Swimming,PeakForm,197.77,4.1,20,210,Shock-Absorbing swim fins designed for maximum comfort.
100055,Kindred Minimalist Polarized Sunglasses,Fashion,Sunglasses,Kindred,135.16,3.1,42,155,Minimalist polarized sunglasses with adjustable strap.
100056,Marbella Trendy Cardigan,Fashion,Women's Clothing,Marbella,55.18,3.7,331,412,Trendy cardigan featuring a timeless design.
100057,Lumière Nourishing Body Lotion,Beauty & Personal Care,Bath & Body,Lumière,86.94,4.3,169,277,Nourishing body lotion suitable for all skin types.
100058,Cazuela Multi-Purpose Cleaning Kit,Home & Kitchen,Cleaning Supplies,Cazuela,145.31,4.4,84,270,Multi-Purpose cleaning kit adds a stylish touch to any room.
100059,Paperloom Bestselling Activity Book,Books & Stationery,Children's Books,Paperloom,33.19,3.8,317,311,Bestselling activity book compact enough to carry anywhere.
100060,Farmside Non-GMO Granola Bars,Groceries & Gourmet,Snacks,Farmside,39.09,4.7,43,230,Non-GMO granola bars sourced from trusted farms.
100061,Paperloom Bestselling History Book,Books & Stationery,Non-Fiction,Paperloom,48.21,4.5,24,120,Bestselling history book perfect for students and professionals.
100062,Vantro Vintage-Style Sandals,Fashion,Footwear,Vantro,26.11,3.4,86,83,Vintage-Style sandals with a comfortable fit.
100063,Whimsy Works Colorful Action Figure,Toys & Games,Action Figures,Whimsy Works,82.81,3.4,5,378,Colorful action figure helps develop motor skills.
100064,Paperloom Recycled Sketchbook,Books & Stationery,Notebooks,Paperloom,15.17,2.8,51,299,Recycled sketchbook great for journaling and note-taking.
100065,Rosewell Gentle Nail Kit,Beauty & Personal Care,Grooming Tools,Rosewell,10.76,4.6,51,249,Gentle nail kit free from harsh chemicals.
100066,Altitude Adjustable Camping Stove,Sports & Outdoors,Camping Gear,Altitude,538.32,4.3,356,454,Adjustable camping stove with quick-dry material.
100067,Meadowbrook Small-Batch Organic Quinoa,Groceries & Gourmet,Organic Foods,Meadowbrook,41.58,4.7,224,467,Small-Batch organic quinoa no artificial preservatives.
100068,Coastline Trendy Dress,Fashion,Women's Clothing,Coastline,116.29,3.2,96,176,Trendy dress featuring a timeless design.
100069,Ironclad Weather-Resistant Exercise Bike,Sports & Outdoors,Fitness Equipment,Ironclad,451.06,4.2,40,195,Weather-Resistant exercise bike ideal for beginners and pros alike.
100070,Skyline Bluetooth Tablet,Electronics,Tablets,Skyline,498.12,3.5,264,409,Bluetooth tablet with voice assistant support.
100071,Lumora Elegant Floor Lamp,Home & Kitchen,Lighting,Lumora,57.77,3.6,151,402,Elegant floor lamp perfect for gifting.
100072,Sagepage Illustrated Spiral Notebook,Books & Stationery,Notebooks,Sagepage,26.04,4.6,35,375,Illustrated spiral notebook great for creative projects.
100073,Lettermark Bestselling Weekly Planner,Books & Stationery,Planners,Lettermark,30.91,3.8,147,81,Bestselling weekly planner compact enough to carry anywhere.
100074,Halcyon Portable 2-in-1 Tablet,Electronics,Tablets,Halcyon,111.6,3.9,15,339,Portable 2-in-1 tablet with long battery life.
100075,Lunetta Trendy Shirt,Fashion,Men's Clothing,Lunetta,166.44,3.9,260,73,Trendy shirt made from breathable fabric.
100076,Lettermark Hardcover Gel Pen Set,Books & Stationery,Pens & Pencils,Lettermark,32.52,4.5,371,331,Hardcover gel pen set with a durable cover.
100077,Golden Fields Non-GMO Organic Honey,Groceries & Gourmet,Organic Foods,Golden Fields,35.74,4.0,253,398,Non-GMO organic honey carefully crafted for taste and quality.
100078,Cazuela Durable Air Fryer,Home & Kitchen,Kitchen Appliances,Cazuela,231.62,4.1,60,10,Durable air fryer perfect for gifting.
100079,Halcyon Portable Flagship Phone,Electronics,Smartphones,Halcyon,1273.04,3.9,368,220,Portable flagship phone with sleek aluminum body.
100080,Altitude Weather-Resistant Dumbbell Set,Sports & Outdoors,Fitness Equipment,Altitude,561.18,4.5,301,215,Weather-Resistant dumbbell set ideal for beginners and pros alike.
100081,Sprout & Co Interactive RC Helicopter,Toys & Games,Remote Control,Sprout & Co,9.69,3.4,19,2,Interactive rc helicopter perfect for indoor or outdoor play.
100082,Marbella Slim-Fit Scarf,Fashion,Accessories,Marbella,63.03,4.7,235,176,Slim-Fit scarf designed for all seasons.
100083,Ivy & Oak Durable Toaster,Home & Kitchen,Kitchen Appliances,Ivy & Oak,299.26,4.0,168,134,Durable toaster perfect for gifting.
100084,Lunetta Slim-Fit Skirt,Fashion,Women's Clothing,Lunetta,164.94,3.9,46,289,Slim-Fit skirt with reinforced stitching.
100085,Folio & Fern Illustrated Stapler Set,Books & Stationery,Office Supplies,Folio & Fern,9.84,4.5,114,334,Illustrated stapler set with a durable cover.
100086,Vantro Modern Sunglasses,Fashion,Sunglasses,Vantro,161.01,4.0,208,247,Modern sunglasses made from breathable fabric.
100087,Rootstock Whole Grain Granola Bars,Groceries & Gourmet,Snacks,Rootstock,36.39,4.6,156,230,Whole Grain granola bars no artificial preservatives.
100088,Surge Heavy-Duty Trekking Poles,Sports & Outdoors,Hiking,Surge,170.26,4.6,242,8,Heavy-Duty trekking poles designed for maximum comfort.
100089,Lumière Vegan Nail Kit,Beauty & Personal Care,Grooming Tools,Lumière,12.03,4.3,20,4,Vegan nail kit paraben-free formula.
100090,Joybound Safe Action Figure,Toys & Games,Action Figures,Joybound,50.81,4.6,220,236,Safe action figure easy to assemble.
100091,Tuscan Grove Multi-Purpose Bed Sheet Set,Home & Kitchen,Bedding,Tuscan Grove,64.2,4.2,1,379,Multi-Purpose bed sheet set perfect for gifting.
100092,PureGlow Cruelty-Free Perfume,Beauty & Personal Care,Fragrances,PureGlow,52.77,4.6,36,489,Cruelty-Free perfume gentle enough for sensitive skin.
100093,Chapter & Verse Recycled Acrylic Paint Set,Books & Stationery,Art Supplies,Chapter & Verse,29.83,4.8,73,41,Recycled acrylic paint set made from recycled paper.
100094,Vantro Vintage-Style Scarf,Fashion,Accessories,Vantro,82.74,5.0,98,487,Vintage-Style scarf made from breathable fabric.
100095,Momentum All-Terrain Running Shorts,Sports & Outdoors,Running,Momentum,145.96,4.8,4,36,All-Terrain running shorts with quick-dry material.
100096,Clearview Contemporary Shelving Unit,Home & Kitchen,Storage,Clearview,370.4,4.5,169,121,Contemporary shelving unit ideal for small kitchens.
100097,Clearview Contemporary Bed Sheet Set,Home & Kitchen,Bedding,Clearview,372.15,3.8,46,265,Contemporary bed sheet set with energy-efficient design.
100098,Harvest & Co All-Natural Oatmeal Pack,Groceries & Gourmet,Breakfast Foods,Harvest & Co,8.88,4.2,191,220,All-Natural oatmeal pack perfect for a healthy lifestyle.
100099,Altitude Anti-Slip Cycling Gloves,Sports & Outdoors,Cycling,Altitude,206.56,4.2,149,277,Anti-Slip cycling gloves designed for maximum comfort.
100100,Skyline Compact Ultrabook,Electronics,Laptops,Skyline,193.0,4.4,58,95,Compact ultrabook with long battery life.
100101,Halcyon Fast-Charging Game Controller,Electronics,Gaming Accessories,Halcyon,1218.87,3.8,142,412,Fast-Charging game controller for professionals.
100102,Whimsy Works Fun Bubble Machine,Toys & Games,Outdoor Toys,Whimsy Works,9.01,4.5,138,77,Fun bubble machine encourages creative play.
100103,Cassia Hydrating Eyeshadow Palette,Beauty & Personal Care,Makeup,Cassia,75.01,4.3,172,385,Hydrating eyeshadow palette free from harsh chemicals.
100104,Pixor Premium Headphones,Electronics,Headphones,Pixor,1128.18,3.6,16,118,Premium headphones with high-resolution display.
100105,Tinker Tots Safe Kite,Toys & Games,Outdoor Toys,Tinker Tots,131.08,3.9,289,262,Safe kite a fun gift for kids.
100106,Nuvox Noise-Cancelling Laptop,Electronics,Laptops,Nuvox,826.85,3.9,135,253,Noise-Cancelling laptop for everyday use.
100107,Nuvox Bluetooth Hybrid Watch,Electronics,Smartwatches,Nuvox,843.78,4.1,77,317,Bluetooth hybrid watch with water resistance.
100108,Quantex Premium Tablet,Electronics,Tablets,Quantex,109.11,3.9,171,272,Premium tablet with long battery life.
100109,Novella Co Recycled Activity Book,Books & Stationery,Children's Books,Novella Co,27.15,4.5,305,371,Recycled activity book great for creative projects.
100110,Lettermark Bestselling Mechanical Pencil,Books & Stationery,Pens & Pencils,Lettermark,27.56,3.6,51,485,Bestselling mechanical pencil great for journaling and note-taking.
100111,Folio & Fern Compact Sticky Notes Pack,Books & Stationery,Office Supplies,Folio & Fern,6.06,3.6,56,332,Compact sticky notes pack with a durable cover.
100112,Altitude Shock-Absorbing Swim Cap,Sports & Outdoors,Swimming,Altitude,50.14,4.1,65,256,Shock-Absorbing swim cap built for outdoor adventures.
100113,Greengrove Non-GMO Spice Blend Set,Groceries & Gourmet,Spices & Seasonings,Greengrove,32.91,4.1,38,250,Non-GMO spice blend set sourced from trusted farms.
100114,Altitude Adjustable Hiking Backpack,Sports & Outdoors,Hiking,Altitude,118.91,4.5,4,20,Adjustable hiking backpack ideal for beginners and pros alike.
100115,Ivy & Oak Multi-Purpose Shelving Unit,Home & Kitchen,Storage,Ivy & Oak,210.02,4.6,818,324,Multi-Purpose shelving unit with energy-efficient design.
100116,Golden Fields Artisanal Oatmeal Pack,Groceries & Gourmet,Breakfast Foods,Golden Fields,42.62,4.4,88,433,Artisanal oatmeal pack made with premium ingredients.
100117,Vantro Handcrafted Shirt,Fashion,Men's Clothing,Vantro,170.54,3.4,130,103,Handcrafted shirt for casual or formal occasions.
100118,Cazuela Contemporary Vacuum Cleaner,Home & Kitchen,Cleaning Supplies,Cazuela,62.73,3.7,21,235,Contemporary vacuum cleaner great for daily household use.
100119,Kindred Modern Hat,Fashion,Accessories,Kindred,167.37,4.5,142,103,Modern hat perfect for everyday wear.
100120,Sagepage Hardcover Activity Book,Books & Stationery,Children's Books,Sagepage,45.55,4.0,77,257,Hardcover activity book with high-quality binding.
100121,Ironclad All-Terrain Dumbbell Set,Sports & Outdoors,Fitness Equipment,Ironclad,251.91,4.4,111,313,All-Terrain dumbbell set built for outdoor adventures.
100122,Lumière Nourishing Hair Trimmer,Beauty & Personal Care,Grooming Tools,Lumière,53.5,4.2,137,111,Nourishing hair trimmer gentle enough for sensitive skin.
100123,Ironclad Breathable Mountain Bike,Sports & Outdoors,Cycling,Ironclad,556.54,3.9,109,489,Breathable mountain bike with UV protection.
100124,Funhaven Educational Construction Kit,Toys & Games,Building Sets,Funhaven,108.06,4.3,139,161,Educational construction kit helps develop motor skills.
100125,Golden Fields Artisanal Vanilla Extract,Groceries & Gourmet,Baking Essentials,Golden Fields,35.48,4.1,71,297,Artisanal vanilla extract sourced from trusted farms.
100126,Tinker Tots Colorful Construction Kit,Toys & Games,Building Sets,Tinker Tots,139.31,3.7,399,333,Colorful construction kit easy to assemble.
100127,Surge Shock-Absorbing Trekking Poles,Sports & Outdoors,Hiking,Surge,328.17,4.0,247,266,Shock-Absorbing trekking poles for intense training sessions.
100128,Wholesome Roots Small-Batch Protein Powder,Groceries & Gourmet,Health Foods,Wholesome Roots,4.26,4.0,119,476,Small-Batch protein powder sourced from trusted farms.
100129,Marbella Slim-Fit Jeans,Fashion,Men's Clothing,Marbella,212.99,4.5,91,213,Slim-Fit jeans perfect for everyday wear.
100130,Tuscan Grove Ergonomic Office Chair,Home & Kitchen,Furniture,Tuscan Grove,28.33,3.7,40,100,Ergonomic office chair with a sleek modern finish.
100131,Joybound Durable Building Block Set,Toys & Games,Building Sets,Joybound,42.58,3.3,54,136,Durable building block set boosts problem-solving skills.
100132,Golden Fields Farm-Fresh Trail Mix,Groceries & Gourmet,Snacks,Golden Fields,12.37,5.0,81,491,Farm-Fresh trail mix carefully crafted for taste and quality.
100133,Cedar & Sage Vegan Electric Shaver,Beauty & Personal Care,Grooming Tools,Cedar & Sage,30.42,4.8,4,212,Vegan electric shaver gentle enough for sensitive skin.
100134,Little Explorers Educational RC Car,Toys & Games,Remote Control,Little Explorers,109.52,4.0,189,392,Educational rc car a fun gift for kids.
100135,Momentum High-Performance Cycling Gloves,Sports & Outdoors,Cycling,Momentum,503.17,5.0,123,99,High-Performance cycling gloves ideal for beginners and pros alike.
100136,Aurablend Fragrance-Free Facial Serum,Beauty & Personal Care,Skincare,Aurablend,48.54,4.5,77,109,Fragrance-Free facial serum made with natural ingredients.
100137,Lettermark Premium Stapler Set,Books & Stationery,Office Supplies,Lettermark,35.6,4.4,54,418,Premium stapler set smooth and comfortable to write with.
100138,Inkwell Bestselling Academic Planner,Books & Stationery,Planners,Inkwell,50.58,4.3,8,142,Bestselling academic planner smooth and comfortable to write with.
100139,Marbella Handcrafted Aviator Sunglasses,Fashion,Sunglasses,Marbella,39.87,4.6,40,75,Handcrafted aviator sunglasses available in multiple colors.
100140,Vortix High-Performance Swim Cap,Sports & Outdoors,Swimming,Vortix,49.03,3.8,91,286,High-Performance swim cap with quick-dry material.
100141,PureGlow Long-Lasting Face Moisturizer,Beauty & Personal Care,Skincare,PureGlow,66.33,4.0,0,141,Long-Lasting face moisturizer made with natural ingredients.
100142,Homestead Eco-Friendly Bookshelf,Home & Kitchen,Furniture,Homestead,164.21,3.9,174,325,Eco-Friendly bookshelf with energy-efficient design.
100143,Lumora Non-Stick Cleaning Kit,Home & Kitchen,Cleaning Supplies,Lumora,62.92,4.7,61,50,Non-Stick cleaning kit with energy-efficient design.
100144,Vantro Minimalist Sneakers,Fashion,Footwear,Vantro,154.86,4.2,113,364,Minimalist sneakers made with sustainable materials.
100145,Nuvox Wireless Smartwatch,Electronics,Smartwatches,Nuvox,1026.46,4.3,185,311,Wireless smartwatch with advanced connectivity.
100146,Quantex Premium 5G Phone,Electronics,Smartphones,Quantex,816.24,3.9,173,435,Premium 5g phone for everyday use.
100147,Silksmith Long-Lasting Shampoo,Beauty & Personal Care,Haircare,Silksmith,83.05,4.0,253,207,Long-Lasting shampoo free from harsh chemicals.
100148,Tuscan Grove Space-Saving Closet Organizer,Home & Kitchen,Storage,Tuscan Grove,36.22,4.1,135,448,Space-Saving closet organizer made from high-quality materials.
100149,Aurablend Vegan Hand Sanitizer,Beauty & Personal Care,Personal Hygiene,Aurablend,9.8,4.7,76,235,Vegan hand sanitizer suitable for all skin types.
100150,Scriptus Hardcover Novel,Books & Stationery,Fiction,Scriptus,11.3,3.8,85,343,Hardcover novel with high-quality binding.
100151,Momentum Anti-Slip Basketball,Sports & Outdoors,Team Sports,Momentum,295.97,4.5,147,326,Anti-Slip basketball lightweight for easy carrying.
100152,Verdant Nourishing Cologne,Beauty & Personal Care,Fragrances,Verdant,79.49,4.0,53,48,Nourishing cologne dermatologically tested.
100153,Novara Compact Smartwatch,Electronics,Smartwatches,Novara,641.32,4.5,8,482,Compact smartwatch with high-resolution display.
100154,Rosewell Fragrance-Free Sunscreen,Beauty & Personal Care,Skincare,Rosewell,41.45,4.7,76,319,Fragrance-Free sunscreen paraben-free formula.
100155,Quillcraft Handmade Fountain Pen,Books & Stationery,Pens & Pencils,Quillcraft,52.75,4.2,21,142,Handmade fountain pen ideal for gifting.
100156,Inkwell Smooth-Writing Sketch Pencil Kit,Books & Stationery,Art Supplies,Inkwell,37.96,3.7,18,122,Smooth-Writing sketch pencil kit smooth and comfortable to write with.
100157,Nestwell Durable Frying Pan,Home & Kitchen,Cookware,Nestwell,142.81,4.0,11,458,Durable frying pan made from high-quality materials.
100158,Quillcraft Refillable Sketchbook,Books & Stationery,Notebooks,Quillcraft,34.78,3.5,471,303,Refillable sketchbook smooth and comfortable to write with.
100159,Joybound Interactive Building Block Set,Toys & Games,Building Sets,Joybound,85.75,3.6,113,425,Interactive building block set safe for children ages 3+.
100160,Aurablend Long-Lasting Body Mist,Beauty & Personal Care,Fragrances,Aurablend,69.88,3.8,61,95,Long-Lasting body mist helps restore natural glow.
100161,Folio & Fern Hardcover Picture Book,Books & Stationery,Children's Books,Folio & Fern,57.78,3.9,127,423,Hardcover picture book perfect for students and professionals.
100162,Nature's Table Farm-Fresh Chips Pack,Groceries & Gourmet,Snacks,Nature's Table,42.25,4.6,679,92,Farm-Fresh chips pack a pantry staple for every kitchen.
100163,Rosewell Vegan Body Mist,Beauty & Personal Care,Fragrances,Rosewell,28.34,3.2,58,169,Vegan body mist for daily use.
100164,Silksmith Gentle Foundation,Beauty & Personal Care,Makeup,Silksmith,47.99,4.3,143,45,Gentle foundation paraben-free formula.
100165,Zentro Fast-Charging Smartphone,Electronics,Smartphones,Zentro,914.85,4.6,391,40,Fast-Charging smartphone for professionals.
100166,Nature's Table Organic Chia Seeds,Groceries & Gourmet,Health Foods,Nature's Table,33.14,4.3,7,394,Organic chia seeds great for meal prepping.
100167,Cazuela Contemporary Storage Bin,Home & Kitchen,Storage,Cazuela,168.08,3.8,229,215,Contemporary storage bin with a soft-touch handle.
100168,Meadowlark Refreshing Body Wash,Beauty & Personal Care,Personal Hygiene,Meadowlark,76.55,3.7,242,28,Refreshing body wash gentle enough for sensitive skin.
100169,Novara Bluetooth Tablet,Electronics,Tablets,Novara,1419.98,4.3,70,457,Bluetooth tablet with fast processor.
100170,Homestead Space-Saving Cleaning Kit,Home & Kitchen,Cleaning Supplies,Homestead,170.79,4.3,409,214,Space-Saving cleaning kit with energy-efficient design.
100171,Homestead Eco-Friendly Floor Lamp,Home & Kitchen,Lighting,Homestead,243.76,4.3,18,131,Eco-Friendly floor lamp easy to clean and maintain.
100172,Skyline Compact Bluetooth Speaker,Electronics,Speakers,Skyline,252.71,3.8,92,143,Compact bluetooth speaker for everyday use.
100173,Farmside Organic Multivitamin Gummies,Groceries & Gourmet,Health Foods,Farmside,38.27,4.0,25,204,Organic multivitamin gummies made with premium ingredients.
100174,Nuvox Portable Mirrorless Camera,Electronics,Cameras,Nuvox,756.51,4.2,46,116,Portable mirrorless camera for everyday use.
100175,Whimsy Works Safe Water Gun,Toys & Games,Outdoor Toys,Whimsy Works,131.24,4.1,169,145,Safe water gun made with non-toxic materials.
100176,Surge Compact Soccer Ball,Sports & Outdoors,Team Sports,Surge,146.72,4.7,2,329,Compact soccer ball with a reinforced frame.
100177,Marvelo Battery-Operated Doll Playset,Toys & Games,Dolls,Marvelo,79.06,4.1,59,278,Battery-Operated doll playset easy to assemble.
100178,Quantex Premium Notebook PC,Electronics,Laptops,Quantex,986.95,4.1,431,463,Premium notebook pc for everyday use.
100179,Aurablend Vegan Face Moisturizer,Beauty & Personal Care,Skincare,Aurablend,68.58,4.6,22,281,"Vegan face moisturizer with a light, pleasant scent."
100180,Quillcraft Hardcover Acrylic Paint Set,Books & Stationery,Art Supplies,Quillcraft,26.44,3.4,46,35,Hardcover acrylic paint set with high-quality binding.
100181,Bloomrise Refreshing Bath Bomb Set,Beauty & Personal Care,Bath & Body,Bloomrise,7.24,3.9,62,247,Refreshing bath bomb set made with natural ingredients.
100182,Nestwell Ergonomic Vacuum Cleaner,Home & Kitchen,Cleaning Supplies,Nestwell,251.13,3.6,228,81,Ergonomic vacuum cleaner perfect for gifting.
100183,Harvest & Co Gluten-Free Oatmeal Pack,Groceries & Gourmet,Breakfast Foods,Harvest & Co,3.28,4.2,115,122,Gluten-Free oatmeal pack sourced from trusted farms.
100184,Cazuela Ergonomic Duvet Cover,Home & Kitchen,Bedding,Cazuela,386.67,4.7,34,202,Ergonomic duvet cover adds a stylish touch to any room.
100185,Inkwell Hardcover Gel Pen Set,Books & Stationery,Pens & Pencils,Inkwell,24.98,5.0,411,277,Hardcover gel pen set with high-quality binding.
100186,Farmside Freshly Roasted Hot Sauce,Groceries & Gourmet,Condiments,Farmside,28.71,4.3,251,428,Freshly Roasted hot sauce a pantry staple for every kitchen.
100187,Inkwell Compact Spiral Notebook,Books & Stationery,Notebooks,Inkwell,12.76,4.7,505,298,Compact spiral notebook great for journaling and note-taking.
100188,Cassia Fragrance-Free Cologne,Beauty & Personal Care,Fragrances,Cassia,66.25,4.2,217,326,Fragrance-Free cologne gentle enough for sensitive skin.
100189,Alto Elegant Leather Strap Watch,Fashion,Watches,Alto,57.18,4.2,215,398,Elegant leather strap watch with reinforced stitching.
